store_id,company_name,store_name,store_hours,inactive_dsps,ubereats_status,ubereats_since,doordash_status,doordash_since,grubhub_status,grubhub_since
fa1034a4-d99a-452a-acb7-55319412de02,Par Mar Stores,Par Mar Stores - 231 (Wheeling Ave),06:00 AM - 07:30 PM EST,GrubHub,Active,05/02/2025 06:00,Active,01/07/2025 06:44,Inactive,07/24/2024 10:45
b2c6ea56-e423-4c64-a207-b1d408516ec4,Par Mar Stores,Par Mar Stores - 235 (West Old Lincoln Way),12:00 AM - 11:59 PM EST,"UberEats, DoorDash",Inactive,01/17/2025 23:16,Inactive,01/11/2025 00:07,Active,01/27/2025 12:02
49cfce83-5a19-4797-952d-952251e03fd0,Par Mar Stores,Par Mar Stores - 25,06:00 AM - 09:30 PM EST,"UberEats, DoorDash, GrubHub",Inactive,03/12/2025 17:56,Inactive,03/12/2025 17:56,Inactive,01/04/2025 20:05
85847f30-dfa8-4a9b-89e1-6d5a4346b63d,Par Mar Stores,Par Mar Stores - 55 (Tuscarawas Rd),05:30 AM - 11:30 PM EST,"UberEats, DoorDash, GrubHub",Inactive,04/25/2025 15:23,Inactive,04/25/2025 15:23,Inactive,04/25/2025 15:23
6ac86b7c-18ad-448c-a665-b84e5b634939,Par Mar Stores,Par Mar Stores - 75 (Beulah Road),06:00 AM - 08:30 PM EST,DoorDash,Active,05/02/2025 06:01,Inactive,08/08/2024 12:53,Active,07/24/2024 20:05
3a55814e-a2b4-40d1-be88-fb25b22ae9c3,Par Mar Stores,Par Mar Stores - 86 (West High St),06:00 AM - 11:00 PM EST,"UberEats, GrubHub",Inactive,05/02/2025 06:01,Active,05/02/2025 07:55,Inactive,11/04/2024 22:28
fc90e61f-1858-4aad-8e44-f3850549e981,Par Mar Stores,Par Mar Stores - 98 (Pearl Rd),06:00 AM - 09:30 PM EST,DoorDash,Active,05/02/2025 06:00,Inactive,08/08/2024 15:52,Active,09/26/2024 11:44
ca6f5c5b-cf64-4bbb-9ed3-9a8da4f422e6,Quick Track - LaMa,Quick Track 10,06:00 AM - 11:30 PM CST,"UberEats, DoorDash, GrubHub",Inactive,04/23/2025 00:31,Inactive,04/23/2025 06:04,Inactive,04/23/2025 06:04
dddc1aec-438f-41e5-a466-ae5cdcd67de4,Quick Track - LaMa,Quick Track 56,12:00 AM - 11:59 PM CST,"UberEats, DoorDash, GrubHub",Inactive,04/21/2025 15:27,Inactive,04/21/2025 15:27,Inactive,04/21/2025 15:27
e20620f3-5e1d-45c1-abe8-c8b5cc73cd8e,Quick Track - LaMa,Quick Track 63,12:00 AM - 11:59 PM CST,"UberEats, DoorDash, GrubHub",Inactive,04/26/2025 00:25,Inactive,04/26/2025 00:25,Inactive,04/26/2025 00:25
72e99374-373b-4ed3-a969-8edf9b8fbe45,Rocket,Rocket #210,12:00 AM - 11:59 PM PST,DoorDash,Active,04/21/2025 03:00,Inactive,01/12/2025 01:14,Active,02/07/2025 12:27
318c0250-b415-4c42-9a18-862e7055fd36,Rocket,Rocket #252,12:00 AM - 11:59 PM PST,UberEats,Inactive,05/01/2025 21:39,Active,12/17/2024 20:26,Active,12/17/2024 20:26
59322776-b959-45be-95b1-2ea0dc58b882,Rocket,Rocket #38,12:00 AM - 11:59 PM PST,"UberEats, DoorDash, GrubHub",Inactive,02/09/2025 16:01,Inactive,02/09/2025 16:01,Inactive,02/09/2025 16:01
be30011c-a52a-4dcd-a98c-06a5bac69dc6,Rocket,Rocket #4240,12:00 AM - 11:59 PM CST,"UberEats, DoorDash, GrubHub",Inactive,03/21/2025 09:12,Inactive,03/21/2025 09:12,Inactive,03/21/2025 09:12
7498a696-1da7-4c37-94f3-adfa6522fb48,Rocket,Rocket #5264,05:00 AM - 11:00 PM PST,DoorDash,Active,05/02/2025 08:00,Inactive,01/19/2025 16:03,Active,12/18/2024 07:44
556ea970-211e-431e-b9f6-1d6277bd61f9,Rocket,Rocket #7963,12:00 AM - 11:59 PM PST,"UberEats, DoorDash, GrubHub",Inactive,04/25/2025 16:21,Inactive,04/25/2025 16:21,Inactive,04/25/2025 16:21
9cd23ca5-956c-402a-ae70-5432705cdf8d,South Eastern Convenience Stores,South Willow Market,12:00 AM - 11:59 PM CST,"UberEats, DoorDash",Inactive,01/14/2025 01:33,Inactive,01/14/2025 01:33,Active,01/27/2025 11:59
5d4e23ef-3045-492a-b4be-f35e6f9f6037,Jacksons Food Stores,Store 9999,09:00 AM - 11:59 PM MDT,"UberEats, DoorDash, GrubHub",Inactive,07/24/2024 13:27,Inactive,07/24/2024 13:27,Inactive,07/24/2024 13:27
91992160-e02c-43fe-99ac-2818dd64b4d5,Exxon Tiger Mart,Tiger Mart #20,06:00 AM - 11:00 PM EST,"UberEats, DoorDash, GrubHub",Inactive,05/01/2025 22:57,Inactive,05/01/2025 22:57,Inactive,05/01/2025 22:57
51baee3e-b456-45ae-8a86-88938c5a208a,Valero Food Mart,Valero Food Mart,06:00 AM - 11:59 PM EST,UberEats,Inactive,05/02/2025 06:00,Active,11/13/2024 22:27,Active,07/25/2024 21:37
8e0641d7-0783-424b-b0fc-35394586c767,WOW! Kitchen & Gas,WOW! Kitchen & Gas - Brownstown,06:00 AM - 11:59 PM EDT,"UberEats, DoorDash",Inactive,02/24/2025 08:50,Inactive,02/24/2025 08:50,Active,02/25/2025 08:55
ca43dd8f-6720-4e94-8d80-e713e10f2566,WOW! Kitchen & Gas,WOW! Kitchen & Gas - Walled Lake,06:00 AM - 11:59 PM EDT,"UberEats, DoorDash",Inactive,02/24/2025 08:51,Inactive,02/24/2025 08:51,Active,02/25/2025 08:55
